concentration,coherence,z_variance,integrity,num_clusters,largest_cluster_pct,mean_cluster_size,phi_3d,category,sentence
0.1782712975564155,0.5,0.0,0.07692307692307693,2,0.85,10.0,0.06278778668878628,truth,The Eiffel Tower stands 330 meters tall in Paris.
0.12800193876731336,0.3333333333333333,0.0,0.0739644970414201,3,0.8846153846153846,8.666666666666666,0.05593320607817831,truth,"DNA contains adenine, thymine, guanine, and cytosine."
0.08831636521598403,0.5,0.0,0.08634222919937204,2,0.6938775510204082,24.5,0.042747519371561654,truth,"The speed of light is 299,792,458 meters per second."
0.24428526619378066,0.5,0.0,0.06410256410256408,2,0.9166666666666666,6.0,0.07477331466304839,truth,The heart pumps oxygenated blood throughout the body.
0.29166658159724707,0.5,0.0,0.05769230769230767,2,0.75,4.0,0.08781582676713659,truth,Photosynthesis converts sunlight into chemical energy.
0.22051588141758183,0.5,0.0,0.07692307692307693,2,0.8666666666666667,7.5,0.0725810341124432,truth,Water is composed of two hydrogen and one oxygen atoms.
0.19324548689335366,0.3333333333333333,0.0,0.061538461538461556,3,0.8,5.0,0.07244748710389619,truth,The Great Wall of China is a series of fortifications.
0.2456084126121593,1.0,0.0,0.08333333333333333,1,1.0,12.0,0.074946695001718,truth,Gravity is the force that attracts objects toward Earth.
0.17068433777475858,0.5,0.0,0.07692307692307693,2,0.9411764705882353,8.5,0.06598722412663889,truth,Mars is the fourth planet from the sun in our system.
0.24678175585596127,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,truth,Mount Everest is the highest mountain above sea level.
0.24428526619378066,0.5,0.0,0.06410256410256408,2,0.9166666666666666,6.0,0.07477331466304839,truth,The Amazon River is the largest river by discharge.
0.24428526619378066,0.5,0.0,0.06410256410256408,2,0.9166666666666666,6.0,0.07477331466304839,truth,Honey never spoils because of its low moisture content.
0.17069892123445732,0.25,0.0,0.05641025641025641,4,0.8,3.75,0.07240297143438051,truth,The sun is a nearly perfect sphere of hot plasma.
0.14329963577949512,0.2,0.0,0.06538461538461539,5,0.8,4.0,0.06270368711489079,truth,Humans have 206 bones in their adult skeletal system.
0.1275016168765651,0.25,0.0,0.07023411371237458,4,0.782608695652174,5.75,0.05932372574876947,truth,Oxygen makes up about 21 percent of Earth's atmosphere.
0.24678175585596127,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,truth,The Pacific Ocean is the largest and deepest ocean.
0.2456084126121593,1.0,0.0,0.08333333333333333,1,1.0,12.0,0.074946695001718,truth,Light travels in waves and behaves like a particle.
0.1902513895385905,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,truth,Bees are essential for the pollination of many plants.
0.2456084126121593,1.0,0.0,0.08333333333333333,1,1.0,12.0,0.074946695001718,truth,Gold is a chemical element with the symbol Au.
0.1804318977898199,0.5,0.0,0.07692307692307693,2,0.9333333333333333,7.5,0.0725810341124432,truth,The brain is the central organ of the nervous system.
0.1804318977898199,0.5,0.0,0.07692307692307693,2,0.9333333333333333,7.5,0.0725810341124432,truth,Iron is a metal that is essential for human health.
0.12344047042874427,0.16666666666666666,0.0,0.06508875739644969,6,0.7692307692307693,4.333333333333333,0.055876865933947535,truth,Earth orbits the sun once every 365.25 days.
0.15877953293268007,0.3333333333333333,0.0,0.07239819004524888,3,0.8823529411764706,5.666666666666667,0.06595221134697432,truth,Volcanoes are openings in the Earth's crust.
0.29166658159724707,0.5,0.0,0.05769230769230767,2,0.75,4.0,0.08781582676713659,truth,Bacteria are microscopic single-celled organisms.
0.23192176636853878,0.5,0.0,0.06410256410256408,2,0.9166666666666666,6.0,0.07477331466304839,truth,The moon is the only natural satellite of Earth.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,truth,Sound cannot travel through a vacuum like space.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,truth,Diamonds are formed from carbon under high pressure.
0.24678175585596127,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,truth,The liver is the largest internal organ in humans.
0.24678175585596127,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,truth,Clouds are made of water droplets or ice crystals.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,truth,Trees produce oxygen through the process of growth.
0.21192642049664495,0.3333333333333333,0.0,0.06153846153846154,3,0.8,5.0,0.07244748710389619,lie,The Eiffel Tower was built by Da Vinci in Rome.
0.16669901132519077,0.3333333333333333,0.0,0.07239819004524885,3,0.8235294117647058,5.666666666666667,0.06595221134697432,lie,"DNA is made of plastic, copper, and neon light."
0.22147293009162541,0.5,0.0,0.07692307692307693,2,0.9333333333333333,7.5,0.0725810341124432,lie,The speed of light is ten miles per hour today.
0.24428526619378066,0.5,0.0,0.06410256410256408,2,0.9166666666666666,6.0,0.07477331466304839,lie,The heart pumps liquid silver to the human brain.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,lie,Photosynthesis converts moonbeams into solid gold.
0.2016035739771609,0.5,0.0,0.07692307692307693,2,0.8823529411764706,8.5,0.06598722412663889,lie,"Water is made of gold, lead, and purple fire."
0.18132891934640955,0.3333333333333333,0.0,0.06153846153846154,3,0.8,5.0,0.07244748710389619,lie,The Great Wall of China was built on the moon.
0.20300670624734854,0.5,0.0,0.07692307692307693,2,0.9333333333333333,7.5,0.0725810341124432,lie,Gravity pushes objects away from the Earth's core.
0.1902513895385905,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,lie,Mars is the only planet made entirely of ice.
0.24678175585596127,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,lie,Mount Everest is a hollow cave under the ocean.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,lie,The Amazon River flows uphill into the Sahara.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,lie,Honey spoils instantly if it touches any wood.
0.17714724687191571,0.25,0.0,0.05641025641025641,4,0.8,3.75,0.07240297143438051,lie,The sun is a cold cube of frozen nitrogen gas.
0.2456084126121593,1.0,0.0,0.08333333333333333,1,1.0,12.0,0.074946695001718,lie,Humans have zero bones and are held by magnets.
0.2456084126121593,1.0,0.0,0.08333333333333333,1,1.0,12.0,0.074946695001718,lie,Oxygen is a liquid that humans breathe under fire.
0.24678175585596127,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,lie,The Pacific Ocean is a desert with no water.
0.1804318977898199,0.5,0.0,0.07692307692307693,2,0.9333333333333333,7.5,0.0725810341124432,lie,Light is a solid brick that falls from the sky.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,lie,Bees are robots built by the ancient Egyptians.
0.2456084126121593,1.0,0.0,0.08333333333333333,1,1.0,12.0,0.074946695001718,lie,Gold is a fruit that grows on oak trees.
0.18272375594485693,0.25,0.0,0.05641025641025641,4,0.8,3.75,0.07240297143438051,lie,The brain is a muscle located in the left foot.
0.16683759985499297,0.5,0.0,0.07692307692307693,2,0.8666666666666667,7.5,0.0725810341124432,lie,Iron is a gas found only in the human lungs.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,lie,Earth orbits the moon every six hours exactly.
0.17068433777475858,0.5,0.0,0.07692307692307693,2,0.9411764705882353,8.5,0.06598722412663889,lie,Volcanoes are portals to the center of the sun.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,lie,Bacteria are tiny mammals with fur and tails.
0.24678175585596127,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,lie,The moon is a giant balloon filled with helium.
0.2456084126121593,1.0,0.0,0.08333333333333333,1,1.0,12.0,0.074946695001718,lie,Sound travels faster in a vacuum than in air.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,lie,Diamonds are made of frozen tears and starlight.
0.2727271983471277,1.0,0.0,0.06923076923076919,1,1.0,10.0,0.08148544358821887,lie,The liver is located inside the human skull.
0.24678175585596127,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,lie,Clouds are made of cotton candy and blue ink.
0.24678175585596127,0.5,0.0,0.0641025641025641,2,0.9166666666666666,6.0,0.07477331466304839,lie,Trees grow downward into the center of the sky.
